"agencies_initials";"agencies_names"
"IFNMG ";" Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais"
"IFPA ";" Instituto Federal de Educação, Ciência e Tecnologia do Pará"
"IFPB ";" Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
"IFPE ";" Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco"
"IFPI ";" Instituto Federal de Educação, Ciência e Tecnologia do Piauí"
"IFPR ";" Instituto Federal de Educação, Ciência e Tecnologia do Paraná"
"IFRN ";" Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte"
"IFRO ";" Instituto Federal de Educação, Ciência e Tecnologia de Rondônia"
"IFRR ";" Instituto Federal de Educação, Ciência e Tecnologia de Roraima"
"IFRS ";" Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul"
"IFS ";" Instituto Federal de Educação, Ciência e Tecnologia de Sergipe"
"IFSC ";" Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina"
"IFSP ";" Instituto Federal de Educação, Ciência e Tecnologia de São Paulo"
"IFSPE ";" Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano"
"IFSul ";" Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense"
"IFSULDEMINAS ";" Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais"
"IFTM ";" Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro"
"IFTO ";" Instituto Federal de Educação, Ciência e Tecnologia do Tocantins"
"IMBEL ";" Indústria de Material Bélico do Brasil"
"INB ";" Indústrias Nucleares do Brasil S.A."
"INCRA ";" Instituto Nacional de Colonização e Reforma Agrária"
"INEP ";" Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira"
"INES ";" Instituto Nacional de Educação de Surdos"
"INFRAERO ";" Empresa Brasileira de Infra-Estrutura Aeroportuária"
"INMETRO ";" Instituto Nacional de Metrologia, Qualidade e Tecnologia"
"INPA ";" Instituto Nacional de Pesquisas da Amazônia"
"INPE-MCT ";" Instituto Nacional de Pesquisas Espaciais"
"INPI ";" Instituto Nacional da Propriedade Industrial"
"INSA ";" Instituto Nacional do Semi-Árido"
"INSS ";" Instituto Nacional do Seguro Social"
"INT ";" Instituto Nacional de Tecnologia"
"IPEA ";" Fundação Instituto de Pesquisa Econômica Aplicada"
"IPHAN ";" Instituto do Patrimônio Histórico e Artístico Nacional"
"ITI ";" Instituto Nacional de Tecnologia da Informação"
"JBRJ ";" Instituto de Pesquisas Jardim Botânico do Rio de Janeiro"
"Liquigás Distribuidora S.A.";""
"LNA ";" Laboratório Nacional de Astrofísica"
"LNCC-MCT ";" Laboratório Nacional de Computação Científica"
"MAPA ";" Ministério da Agricultura, Pecuária e Abastecimento"
"MAST ";" Museu de Astronomia e Ciências Afins"
"MCIDADANIA ";" Ministério da Cidadania (Desenvolvimento Social e Esporte)"
"MCOM ";" Ministério das Comunicações"
"MCTI ";" Ministério da Ciência, Tecnologia, Inovações"
"MD ";" Ministério da Defesa"
"MDR ";" Ministério do Desenvolvimento Regional"
"ME ";" Ministério da Economia"
"MEC ";" Ministério da Educação"
"MGEP-MCT ";" Museu Paraense Emílio Goeldi"
"MINFRA ";" Ministério da Infraestrutura"
"MJSP ";" Ministério da Justiça e Segurança Pública"
"MMA ";" Ministério do Meio Ambiente"
"MME ";" Ministério de Minas e Energia"
"MMFDH ";" Ministério da Mulher, da Família e dos Direitos Humanos"
"MRE ";" Ministério das Relações Exteriores"
"MS ";" Ministério da Saúde"
"MTP ";" Ministério do Trabalho e Previdência"
"MTur ";" Ministério do Turismo (Turismo e Cultura)"
"NUCLEP ";" Nuclebrás Equipamentos Pesados S.A."
"ON-MCT ";" Observatório Nacional"
"PETROBRAS ";" Petróleo Brasileiro S.A."
"Petrobras Biocombustível S.A.";""
"Petrobras Gás S.A.";""
"Petrobras Logística de Exploração e Produção S.A.";""
"PR ";" Presidência da República"
"Pré-Sal Petróleo S.A";"Empresa Brasileira de Administração de Petróleo e Gás Natural S.A."
"PREVIC ";" Superintendência Nacional de Previdência Complementar"
"SEGOV/PR ";" Secretaria de Governo da Presidência da República"
"SERPRO ";" Serviço Federal de Processamento de Dados"
"SGPR ";" Secretaria-Geral da Presidência da República"
"SUDAM ";" Superintendência do Desenvolvimento da Amazônia"
"SUDECO ";" Superintendência de Desenvolvimento do Centro-Oeste"
"SUDENE ";" Superintendência do Desenvolvimento do Nordeste"
"SUFRAMA ";" Superintendência da Zona Franca de Manaus"
"SUSEP ";" Superintendência de Seguros Privados"
"TELEBRÁS ";" Telecomunicações Brasileiras S.A."
"TERMOMACAÉ S.A.";""
"TRANSPETRO ";" Petrobras Transporte S.A"
"Transportadora Brasileira Gasoduto Bolívia";"Brasil S.A."
"TRENSURB ";" Empresa de Trens Urbanos de Porto Alegre S.A."
"UFABC ";" Fundação Universidade Federal do ABC"
"UFAC ";" Fundação Universidade Federal do Acre"
"UFAL ";" Universidade Federal de Alagoas"
"UFAM ";" Fundação Universidade do Amazonas"
"UFBA ";" Universidade Federal da Bahia"
"UFC ";" Universidade Federal do Ceará"
"UFCA ";" Universidade Federal do Cariri"
"UFCAT ";" Universidade Federal de Catalão"
"UFCG ";" Universidade Federal de Campina Grande"
"UFCSPA ";" Fundação Universidade Federal de Ciências da Saúde de Porto Alegre"
"UFDPar ";" Universidade Federal do Delta do Parnaíba"
"UFERSA-RN ";" Universidade Federal Rural do Semi-Árido"
"UFES ";" Universidade Federal do Espírito Santo"
"UFF ";" Universidade Federal Fluminense"
"UFFS ";" Universidade Federal da Fronteira Sul"
"UFG ";" Universidade Federal de Goiás"
"UFGD ";" Fundação Universidade Federal da Grande Dourados"
"UFJ ";" Universidade Federal de Jataí"
"UFJF ";" Universidade Federal de Juiz de Fora"
"UFLA ";" Universidade Federal de Lavras"
"UFMA ";" Fundação Universidade Federal do Maranhão"
"UFMG ";" Universidade Federal de Minas Gerais"
"UFMS ";" Fundação Universidade Federal de Mato Grosso do Sul"
"UFMT ";" Fundação Universidade Federal de Mato Grosso"
"UFOB ";" Universidade Federal do Oeste da Bahia"
"UFOP ";" Fundação Universidade Federal de Ouro Preto"
"UFOPA ";" Universidade Federal do Oeste do Pará"
"UFPA ";" Universidade Federal do Pará"
"UFPB ";" Universidade Federal da Paraíba"
"UFPE ";" Universidade Federal de Pernambuco"
"UFPel ";" Fundação Universidade Federal de Pelotas"
"UFPI ";" Fundação Universidade Federal do Piauí"
"UFPR ";" Universidade Federal do Paraná"
"UFRA ";" Universidade Federal Rural da Amazônia"
"UFRB ";" Universidade Federal do Recôncavo da Bahia"
"UFRGS ";" Universidade Federal do Rio Grande do Sul"
"UFRJ ";" Universidade Federal do Rio de Janeiro"
"UFRN ";" Universidade Federal do Rio Grande do Norte"
"UFRPE ";" Universidade Federal Rural de Pernambuco"
"UFRR ";" Fundação Universidade Federal de Roraima"
"UFRRJ ";" Universidade Federal Rural do Rio de Janeiro"
"UFS ";" Fundação Universidade Federal de Sergipe"
"UFSB ";" Universidade Federal do Sul da Bahia"
"UFSC ";" Universidade Federal de Santa Catarina"
"UFSCar ";" Fundação Universidade Federal de São Carlos"
"UFSM ";" Universidade Federal de Santa Maria"
"UFT ";" Fundação Universidade Federal do Tocantins"
"UFTM ";" Universidade Federal do Triângulo Mineiro"
"UFU ";" Universidade Federal de Uberlândia"
"UFV ";" Fundação Universidade Federal de Viçosa"
"UFVJM ";" Universidade Federal dos Vales do Jequitinhonha e Mucuri"
"UNB ";" Fundação Universidade de Brasília"
"UNIFAL-MG ";" Universidade Federal de Alfenas"
"UNIFAP ";" Fundação Universidade Federal do Amapá"
"UNIFEI ";" Universidade Federal de Itajubá"
"UNIFESP ";" Universidade Federal de São Paulo"
"UNIFESSPA ";" Universidade Federal do Sul e Sudeste do Pará"
"UNILA ";" Universidade Federal da Integração Latino-Americana"
"UNILAB ";" Universidade da Integração Internacional da Lusofonia Afro-Brasileira"
"UNIPAMPA ";" Fundação Universidade Federal do Pampa"
"UNIR ";" Fundação Universidade Federal de Rondônia"
"UNIRIO ";" Universidade Federal do Estado do Rio de Janeiro"
"UNIVASF ";" Fundação Universidade Federal do Vale do São Francisco"
"UTFPR ";" Universidade Tecnológica Federal do Paraná"
"VALEC ";" Engenharia, Construções e Ferrovias S.A."
"VPR ";" Vice-Presidência da República"
